,PRICE,ROUNDED_NOTIONAL_AMOUNT_1,ACTION_CANCEL,ACTION_CORRECT,ACTION_NEW,TAXONOMY_Credit:Index:CDX:CDXHY,TAXONOMY_Credit:Index:CDX:CDXIG,PRICE_FORMING_CONTINUATION_DATA_Amendment,PRICE_FORMING_CONTINUATION_DATA_Novation,PRICE_FORMING_CONTINUATION_DATA_Partialtermination,PRICE_FORMING_CONTINUATION_DATA_Trade,CLEARED_C,CLEARED_U,INDICATION_OF_COLLATERALIZATION_FC,INDICATION_OF_COLLATERALIZATION_OC,INDICATION_OF_COLLATERALIZATION_PC,INDICATION_OF_COLLATERALIZATION_UC
970537,0.73125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
970558,105.27999877929688,4.0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
970559,0.675,110.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
970560,0.675,110.0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
970566,7.35,100.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
970595,0.675,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
970604,106.19999694824219,100.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
970605,0.735,5.0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
970615,0.75,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
970628,0.675,110.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
970652,0.675,110.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
970868,0.7860569763183594,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
970885,0.76875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
970886,0.76875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
970902,0.76875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
970907,0.76875,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
970911,0.769375,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
970920,0.77,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
970932,0.7859999847412109,110.0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
970949,1.0,9.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
970950,0.765,9.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
971019,0.781875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971066,1.046230010986328,15.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
971067,1.046230010986328,15.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
971068,1.046230010986328,15.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
971070,0.77125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971075,104.87999725341797,5.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
971076,104.72000122070312,5.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
971161,0.7962999725341797,14.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971162,0.7780000305175782,3.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
971164,0.784375,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971175,0.785,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971179,0.7962999725341797,14.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
971244,0.785625,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971245,0.785625,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971246,0.785625,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971252,0.783125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971263,0.78375,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971264,0.78375,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971462,0.62,70.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
971516,0.62125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971827,0.603125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971872,0.603125,75.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
971882,0.87375,25.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971883,0.81375,50.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971884,0.78125,25.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971885,0.82625,50.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971886,0.77125,50.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971887,0.751875,75.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971912,0.875,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971913,0.80625,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971914,0.80625,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971915,0.87375,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
971944,0.52375,100.0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
971955,0.52375,110.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
972163,0.666875,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972258,0.6675,110.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
972316,108.31999969482422,50.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
972341,0.67125,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972350,3.44189208984375,25.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
972352,0.5693999862670899,13.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972435,108.37000274658203,75.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
972498,0.6675,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972500,0.6675,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972547,0.6675,110.0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
972656,0.74125,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972666,0.74125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972671,0.74125,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
